verbs,questionnarie,q_id,verb_id,negative_flag,pca_cat
連絡する,感じの悪い-感じの良い,1,1,0,approachableness
連絡する,心の広い-心の狭い,2,1,0,approachableness
連絡する,非社交的な-社交的な,3,1,0,approachableness
連絡する,積極的な-消極的な,4,1,0,approachableness
連絡する,責任感のある-責任感のない,5,1,0,approachableness
連絡する,軽率な-慎重な,6,1,0,approachableness
気に入る,感じの悪い-感じの良い,1,2,0,approachableness
気に入る,心の広い-心の狭い,2,2,0,approachableness
気に入る,非社交的な-社交的な,3,2,0,approachableness
気に入る,積極的な-消極的な,4,2,0,approachableness
気に入る,責任感のある-責任感のない,5,2,0,approachableness
気に入る,軽率な-慎重な,6,2,0,approachableness
接する,感じの悪い-感じの良い,1,3,0,approachableness
接する,心の広い-心の狭い,2,3,0,approachableness
接する,非社交的な-社交的な,3,3,0,approachableness
接する,積極的な-消極的な,4,3,0,approachableness
接する,責任感のある-責任感のない,5,3,0,approachableness
接する,軽率な-慎重な,6,3,0,approachableness
対応する,感じの悪い-感じの良い,1,4,0,approachableness
対応する,心の広い-心の狭い,2,4,0,approachableness
対応する,非社交的な-社交的な,3,4,0,approachableness
対応する,積極的な-消極的な,4,4,0,approachableness
対応する,責任感のある-責任感のない,5,4,0,approachableness
対応する,軽率な-慎重な,6,4,0,approachableness
断る,感じの悪い-感じの良い,1,5,0,approachableness
断る,心の広い-心の狭い,2,5,0,approachableness
断る,非社交的な-社交的な,3,5,0,approachableness
断る,積極的な-消極的な,4,5,0,approachableness
断る,責任感のある-責任感のない,5,5,0,approachableness
断る,軽率な-慎重な,6,5,0,approachableness
聞く,感じの悪い-感じの良い,1,6,0,approachableness
聞く,心の広い-心の狭い,2,6,0,approachableness
聞く,非社交的な-社交的な,3,6,0,approachableness
聞く,積極的な-消極的な,4,6,0,approachableness
聞く,責任感のある-責任感のない,5,6,0,approachableness
聞く,軽率な-慎重な,6,6,0,approachableness
頼む,感じの悪い-感じの良い,1,7,0,approachableness
頼む,心の広い-心の狭い,2,7,0,approachableness
頼む,非社交的な-社交的な,3,7,0,approachableness
頼む,積極的な-消極的な,4,7,0,approachableness
頼む,責任感のある-責任感のない,5,7,0,approachableness
頼む,軽率な-慎重な,6,7,0,approachableness
心配する,感じの悪い-感じの良い,1,8,0,approachableness
心配する,心の広い-心の狭い,2,8,0,approachableness
心配する,非社交的な-社交的な,3,8,0,approachableness
心配する,積極的な-消極的な,4,8,0,approachableness
心配する,責任感のある-責任感のない,5,8,0,approachableness
心配する,軽率な-慎重な,6,8,0,approachableness
貸す,感じの悪い-感じの良い,1,9,0,approachableness
貸す,心の広い-心の狭い,2,9,0,approachableness
貸す,非社交的な-社交的な,3,9,0,approachableness
貸す,積極的な-消極的な,4,9,0,approachableness
貸す,責任感のある-責任感のない,5,9,0,approachableness
貸す,軽率な-慎重な,6,9,0,approachableness
相談する,感じの悪い-感じの良い,1,10,0,approachableness
相談する,心の広い-心の狭い,2,10,0,approachableness
相談する,非社交的な-社交的な,3,10,0,approachableness
相談する,積極的な-消極的な,4,10,0,approachableness
相談する,責任感のある-責任感のない,5,10,0,approachableness
相談する,軽率な-慎重な,6,10,0,approachableness
入る,感じの悪い-感じの良い,1,11,0,extraversion
入る,心の広い-心の狭い,2,11,0,extraversion
入る,非社交的な-社交的な,3,11,0,extraversion
入る,積極的な-消極的な,4,11,0,extraversion
入る,責任感のある-責任感のない,5,11,0,extraversion
入る,軽率な-慎重な,6,11,0,extraversion
進む,感じの悪い-感じの良い,1,12,0,extraversion
進む,心の広い-心の狭い,2,12,0,extraversion
進む,非社交的な-社交的な,3,12,0,extraversion
進む,積極的な-消極的な,4,12,0,extraversion
進む,責任感のある-責任感のない,5,12,0,extraversion
進む,軽率な-慎重な,6,12,0,extraversion
飲む,感じの悪い-感じの良い,1,13,0,extraversion
飲む,心の広い-心の狭い,2,13,0,extraversion
飲む,非社交的な-社交的な,3,13,0,extraversion
飲む,積極的な-消極的な,4,13,0,extraversion
飲む,責任感のある-責任感のない,5,13,0,extraversion
飲む,軽率な-慎重な,6,13,0,extraversion
発言する,感じの悪い-感じの良い,1,14,0,extraversion
発言する,心の広い-心の狭い,2,14,0,extraversion
発言する,非社交的な-社交的な,3,14,0,extraversion
発言する,積極的な-消極的な,4,14,0,extraversion
発言する,責任感のある-責任感のない,5,14,0,extraversion
発言する,軽率な-慎重な,6,14,0,extraversion
出る,感じの悪い-感じの良い,1,15,0,extraversion
出る,心の広い-心の狭い,2,15,0,extraversion
出る,非社交的な-社交的な,3,15,0,extraversion
出る,積極的な-消極的な,4,15,0,extraversion
出る,責任感のある-責任感のない,5,15,0,extraversion
出る,軽率な-慎重な,6,15,0,extraversion
活動する,感じの悪い-感じの良い,1,16,0,extraversion
活動する,心の広い-心の狭い,2,16,0,extraversion
活動する,非社交的な-社交的な,3,16,0,extraversion
活動する,積極的な-消極的な,4,16,0,extraversion
活動する,責任感のある-責任感のない,5,16,0,extraversion
活動する,軽率な-慎重な,6,16,0,extraversion
旅行する,感じの悪い-感じの良い,1,17,0,extraversion
旅行する,心の広い-心の狭い,2,17,0,extraversion
旅行する,非社交的な-社交的な,3,17,0,extraversion
旅行する,積極的な-消極的な,4,17,0,extraversion
旅行する,責任感のある-責任感のない,5,17,0,extraversion
旅行する,軽率な-慎重な,6,17,0,extraversion
交流する,感じの悪い-感じの良い,1,18,0,extraversion
交流する,心の広い-心の狭い,2,18,0,extraversion
交流する,非社交的な-社交的な,3,18,0,extraversion
交流する,積極的な-消極的な,4,18,0,extraversion
交流する,責任感のある-責任感のない,5,18,0,extraversion
交流する,軽率な-慎重な,6,18,0,extraversion
持つ,感じの悪い-感じの良い,1,19,0,extraversion
持つ,心の広い-心の狭い,2,19,0,extraversion
持つ,非社交的な-社交的な,3,19,0,extraversion
持つ,積極的な-消極的な,4,19,0,extraversion
持つ,責任感のある-責任感のない,5,19,0,extraversion
持つ,軽率な-慎重な,6,19,0,extraversion
評価する,感じの悪い-感じの良い,1,20,0,extraversion
評価する,心の広い-心の狭い,2,20,0,extraversion
評価する,非社交的な-社交的な,3,20,0,extraversion
評価する,積極的な-消極的な,4,20,0,extraversion
評価する,責任感のある-責任感のない,5,20,0,extraversion
評価する,軽率な-慎重な,6,20,0,extraversion
仕事する,感じの悪い-感じの良い,1,21,0,responsibility
仕事する,心の広い-心の狭い,2,21,0,responsibility
仕事する,非社交的な-社交的な,3,21,0,responsibility
仕事する,積極的な-消極的な,4,21,0,responsibility
仕事する,責任感のある-責任感のない,5,21,0,responsibility
仕事する,軽率な-慎重な,6,21,0,responsibility
買う,感じの悪い-感じの良い,1,22,0,responsibility
買う,心の広い-心の狭い,2,22,0,responsibility
買う,非社交的な-社交的な,3,22,0,responsibility
買う,積極的な-消極的な,4,22,0,responsibility
買う,責任感のある-責任感のない,5,22,0,responsibility
買う,軽率な-慎重な,6,22,0,responsibility
考える,感じの悪い-感じの良い,1,23,0,responsibility
考える,心の広い-心の狭い,2,23,0,responsibility
考える,非社交的な-社交的な,3,23,0,responsibility
考える,積極的な-消極的な,4,23,0,responsibility
考える,責任感のある-責任感のない,5,23,0,responsibility
考える,軽率な-慎重な,6,23,0,responsibility
決める,感じの悪い-感じの良い,1,24,0,responsibility
決める,心の広い-心の狭い,2,24,0,responsibility
決める,非社交的な-社交的な,3,24,0,responsibility
決める,積極的な-消極的な,4,24,0,responsibility
決める,責任感のある-責任感のない,5,24,0,responsibility
決める,軽率な-慎重な,6,24,0,responsibility
計画する,感じの悪い-感じの良い,1,25,0,responsibility
計画する,心の広い-心の狭い,2,25,0,responsibility
計画する,非社交的な-社交的な,3,25,0,responsibility
計画する,積極的な-消極的な,4,25,0,responsibility
計画する,責任感のある-責任感のない,5,25,0,responsibility
計画する,軽率な-慎重な,6,25,0,responsibility
務める,感じの悪い-感じの良い,1,26,0,responsibility
務める,心の広い-心の狭い,2,26,0,responsibility
務める,非社交的な-社交的な,3,26,0,responsibility
務める,積極的な-消極的な,4,26,0,responsibility
務める,責任感のある-責任感のない,5,26,0,responsibility
務める,軽率な-慎重な,6,26,0,responsibility
近づく,感じの悪い-感じの良い,1,27,0,responsibility
近づく,心の広い-心の狭い,2,27,0,responsibility
近づく,非社交的な-社交的な,3,27,0,responsibility
近づく,積極的な-消極的な,4,27,0,responsibility
近づく,責任感のある-責任感のない,5,27,0,responsibility
近づく,軽率な-慎重な,6,27,0,responsibility
近寄る,感じの悪い-感じの良い,1,28,0,responsibility
近寄る,心の広い-心の狭い,2,28,0,responsibility
近寄る,非社交的な-社交的な,3,28,0,responsibility
近寄る,積極的な-消極的な,4,28,0,responsibility
近寄る,責任感のある-責任感のない,5,28,0,responsibility
近寄る,軽率な-慎重な,6,28,0,responsibility
休む,感じの悪い-感じの良い,1,29,0,responsibility
休む,心の広い-心の狭い,2,29,0,responsibility
休む,非社交的な-社交的な,3,29,0,responsibility
休む,積極的な-消極的な,4,29,0,responsibility
休む,責任感のある-責任感のない,5,29,0,responsibility
休む,軽率な-慎重な,6,29,0,responsibility
行う,感じの悪い-感じの良い,1,30,1,responsibility
行う,心の広い-心の狭い,2,30,1,responsibility
行う,非社交的な-社交的な,3,30,1,responsibility
行う,積極的な-消極的な,4,30,1,responsibility
行う,責任感のある-責任感のない,5,30,1,responsibility
行う,軽率な-慎重な,6,30,1,responsibility
連絡しない,感じの悪い-感じの良い,1,31,1,approachableness
連絡しない,心の広い-心の狭い,2,31,1,approachableness
連絡しない,非社交的な-社交的な,3,31,1,approachableness
連絡しない,積極的な-消極的な,4,31,1,approachableness
連絡しない,責任感のある-責任感のない,5,31,1,approachableness
連絡しない,軽率な-慎重な,6,31,1,approachableness
気に入らない,感じの悪い-感じの良い,1,32,1,approachableness
気に入らない,心の広い-心の狭い,2,32,1,approachableness
気に入らない,非社交的な-社交的な,3,32,1,approachableness
気に入らない,積極的な-消極的な,4,32,1,approachableness
気に入らない,責任感のある-責任感のない,5,32,1,approachableness
気に入らない,軽率な-慎重な,6,32,1,approachableness
接さない,感じの悪い-感じの良い,1,33,1,approachableness
接さない,心の広い-心の狭い,2,33,1,approachableness
接さない,非社交的な-社交的な,3,33,1,approachableness
接さない,積極的な-消極的な,4,33,1,approachableness
接さない,責任感のある-責任感のない,5,33,1,approachableness
接さない,軽率な-慎重な,6,33,1,approachableness
対応しない,感じの悪い-感じの良い,1,34,1,approachableness
対応しない,心の広い-心の狭い,2,34,1,approachableness
対応しない,非社交的な-社交的な,3,34,1,approachableness
対応しない,積極的な-消極的な,4,34,1,approachableness
対応しない,責任感のある-責任感のない,5,34,1,approachableness
対応しない,軽率な-慎重な,6,34,1,approachableness
断らない,感じの悪い-感じの良い,1,35,1,approachableness
断らない,心の広い-心の狭い,2,35,1,approachableness
断らない,非社交的な-社交的な,3,35,1,approachableness
断らない,積極的な-消極的な,4,35,1,approachableness
断らない,責任感のある-責任感のない,5,35,1,approachableness
断らない,軽率な-慎重な,6,35,1,approachableness
聞かない,感じの悪い-感じの良い,1,36,1,approachableness
聞かない,心の広い-心の狭い,2,36,1,approachableness
聞かない,非社交的な-社交的な,3,36,1,approachableness
聞かない,積極的な-消極的な,4,36,1,approachableness
聞かない,責任感のある-責任感のない,5,36,1,approachableness
聞かない,軽率な-慎重な,6,36,1,approachableness
頼まない,感じの悪い-感じの良い,1,37,1,approachableness
頼まない,心の広い-心の狭い,2,37,1,approachableness
頼まない,非社交的な-社交的な,3,37,1,approachableness
頼まない,積極的な-消極的な,4,37,1,approachableness
頼まない,責任感のある-責任感のない,5,37,1,approachableness
頼まない,軽率な-慎重な,6,37,1,approachableness
心配しない,感じの悪い-感じの良い,1,38,1,approachableness
心配しない,心の広い-心の狭い,2,38,1,approachableness
心配しない,非社交的な-社交的な,3,38,1,approachableness
心配しない,積極的な-消極的な,4,38,1,approachableness
心配しない,責任感のある-責任感のない,5,38,1,approachableness
心配しない,軽率な-慎重な,6,38,1,approachableness
貸さない,感じの悪い-感じの良い,1,39,1,approachableness
貸さない,心の広い-心の狭い,2,39,1,approachableness
貸さない,非社交的な-社交的な,3,39,1,approachableness
貸さない,積極的な-消極的な,4,39,1,approachableness
貸さない,責任感のある-責任感のない,5,39,1,approachableness
貸さない,軽率な-慎重な,6,39,1,approachableness
相談しない,感じの悪い-感じの良い,1,40,1,approachableness
相談しない,心の広い-心の狭い,2,40,1,approachableness
相談しない,非社交的な-社交的な,3,40,1,approachableness
相談しない,積極的な-消極的な,4,40,1,approachableness
相談しない,責任感のある-責任感のない,5,40,1,approachableness
相談しない,軽率な-慎重な,6,40,1,approachableness
入らない,感じの悪い-感じの良い,1,41,1,extraversion
入らない,心の広い-心の狭い,2,41,1,extraversion
入らない,非社交的な-社交的な,3,41,1,extraversion
入らない,積極的な-消極的な,4,41,1,extraversion
入らない,責任感のある-責任感のない,5,41,1,extraversion
入らない,軽率な-慎重な,6,41,1,extraversion
進まない,感じの悪い-感じの良い,1,42,1,extraversion
進まない,心の広い-心の狭い,2,42,1,extraversion
進まない,非社交的な-社交的な,3,42,1,extraversion
進まない,積極的な-消極的な,4,42,1,extraversion
進まない,責任感のある-責任感のない,5,42,1,extraversion
進まない,軽率な-慎重な,6,42,1,extraversion
飲まない,感じの悪い-感じの良い,1,43,1,extraversion
飲まない,心の広い-心の狭い,2,43,1,extraversion
飲まない,非社交的な-社交的な,3,43,1,extraversion
飲まない,積極的な-消極的な,4,43,1,extraversion
飲まない,責任感のある-責任感のない,5,43,1,extraversion
飲まない,軽率な-慎重な,6,43,1,extraversion
発言しない,感じの悪い-感じの良い,1,44,1,extraversion
発言しない,心の広い-心の狭い,2,44,1,extraversion
発言しない,非社交的な-社交的な,3,44,1,extraversion
発言しない,積極的な-消極的な,4,44,1,extraversion
発言しない,責任感のある-責任感のない,5,44,1,extraversion
発言しない,軽率な-慎重な,6,44,1,extraversion
出ない,感じの悪い-感じの良い,1,45,1,extraversion
出ない,心の広い-心の狭い,2,45,1,extraversion
出ない,非社交的な-社交的な,3,45,1,extraversion
出ない,積極的な-消極的な,4,45,1,extraversion
出ない,責任感のある-責任感のない,5,45,1,extraversion
出ない,軽率な-慎重な,6,45,1,extraversion
活動しない,感じの悪い-感じの良い,1,46,1,extraversion
活動しない,心の広い-心の狭い,2,46,1,extraversion
活動しない,非社交的な-社交的な,3,46,1,extraversion
活動しない,積極的な-消極的な,4,46,1,extraversion
活動しない,責任感のある-責任感のない,5,46,1,extraversion
活動しない,軽率な-慎重な,6,46,1,extraversion
旅行しない,感じの悪い-感じの良い,1,47,1,extraversion
旅行しない,心の広い-心の狭い,2,47,1,extraversion
旅行しない,非社交的な-社交的な,3,47,1,extraversion
旅行しない,積極的な-消極的な,4,47,1,extraversion
旅行しない,責任感のある-責任感のない,5,47,1,extraversion
旅行しない,軽率な-慎重な,6,47,1,extraversion
交流しない,感じの悪い-感じの良い,1,48,1,extraversion
交流しない,心の広い-心の狭い,2,48,1,extraversion
交流しない,非社交的な-社交的な,3,48,1,extraversion
交流しない,積極的な-消極的な,4,48,1,extraversion
交流しない,責任感のある-責任感のない,5,48,1,extraversion
交流しない,軽率な-慎重な,6,48,1,extraversion
持たない,感じの悪い-感じの良い,1,49,1,extraversion
持たない,心の広い-心の狭い,2,49,1,extraversion
持たない,非社交的な-社交的な,3,49,1,extraversion
持たない,積極的な-消極的な,4,49,1,extraversion
持たない,責任感のある-責任感のない,5,49,1,extraversion
持たない,軽率な-慎重な,6,49,1,extraversion
評価しない,感じの悪い-感じの良い,1,50,1,extraversion
評価しない,心の広い-心の狭い,2,50,1,extraversion
評価しない,非社交的な-社交的な,3,50,1,extraversion
評価しない,積極的な-消極的な,4,50,1,extraversion
評価しない,責任感のある-責任感のない,5,50,1,extraversion
評価しない,軽率な-慎重な,6,50,1,extraversion
仕事しない,感じの悪い-感じの良い,1,51,1,responsibility
仕事しない,心の広い-心の狭い,2,51,1,responsibility
仕事しない,非社交的な-社交的な,3,51,1,responsibility
