verbs,traitq,traitq_id,verb_id,negative_flag,pca_cat_id_v
連絡する,感じの悪い-感じの良い,traitq14,1,0,approachableness
連絡する,心の広い-心の狭い,traitq06,1,0,approachableness
連絡する,非社交的な-社交的な,traitq07,1,0,approachableness
連絡する,積極的な-消極的な,traitq01,1,0,approachableness
連絡する,責任感のある-責任感のない,traitq08,1,0,approachableness
連絡する,軽率な-慎重な,traitq09,1,0,approachableness
気に入る,感じの悪い-感じの良い,traitq14,2,0,approachableness
気に入る,心の広い-心の狭い,traitq06,2,0,approachableness
気に入る,非社交的な-社交的な,traitq07,2,0,approachableness
気に入る,積極的な-消極的な,traitq01,2,0,approachableness
気に入る,責任感のある-責任感のない,traitq08,2,0,approachableness
気に入る,軽率な-慎重な,traitq09,2,0,approachableness
接する,感じの悪い-感じの良い,traitq14,3,0,approachableness
接する,心の広い-心の狭い,traitq06,3,0,approachableness
接する,非社交的な-社交的な,traitq07,3,0,approachableness
接する,積極的な-消極的な,traitq01,3,0,approachableness
接する,責任感のある-責任感のない,traitq08,3,0,approachableness
接する,軽率な-慎重な,traitq09,3,0,approachableness
対応する,感じの悪い-感じの良い,traitq14,4,0,approachableness
対応する,心の広い-心の狭い,traitq06,4,0,approachableness
対応する,非社交的な-社交的な,traitq07,4,0,approachableness
対応する,積極的な-消極的な,traitq01,4,0,approachableness
対応する,責任感のある-責任感のない,traitq08,4,0,approachableness
対応する,軽率な-慎重な,traitq09,4,0,approachableness
断る,感じの悪い-感じの良い,traitq14,5,0,approachableness
断る,心の広い-心の狭い,traitq06,5,0,approachableness
断る,非社交的な-社交的な,traitq07,5,0,approachableness
断る,積極的な-消極的な,traitq01,5,0,approachableness
断る,責任感のある-責任感のない,traitq08,5,0,approachableness
断る,軽率な-慎重な,traitq09,5,0,approachableness
聞く,感じの悪い-感じの良い,traitq14,6,0,approachableness
聞く,心の広い-心の狭い,traitq06,6,0,approachableness
聞く,非社交的な-社交的な,traitq07,6,0,approachableness
聞く,積極的な-消極的な,traitq01,6,0,approachableness
聞く,責任感のある-責任感のない,traitq08,6,0,approachableness
聞く,軽率な-慎重な,traitq09,6,0,approachableness
頼む,感じの悪い-感じの良い,traitq14,7,0,approachableness
頼む,心の広い-心の狭い,traitq06,7,0,approachableness
頼む,非社交的な-社交的な,traitq07,7,0,approachableness
頼む,積極的な-消極的な,traitq01,7,0,approachableness
頼む,責任感のある-責任感のない,traitq08,7,0,approachableness
頼む,軽率な-慎重な,traitq09,7,0,approachableness
心配する,感じの悪い-感じの良い,traitq14,8,0,approachableness
心配する,心の広い-心の狭い,traitq06,8,0,approachableness
心配する,非社交的な-社交的な,traitq07,8,0,approachableness
心配する,積極的な-消極的な,traitq01,8,0,approachableness
心配する,責任感のある-責任感のない,traitq08,8,0,approachableness
心配する,軽率な-慎重な,traitq09,8,0,approachableness
貸す,感じの悪い-感じの良い,traitq14,9,0,approachableness
貸す,心の広い-心の狭い,traitq06,9,0,approachableness
貸す,非社交的な-社交的な,traitq07,9,0,approachableness
