verbs,questionnarie,q_id,verb_id
仕事する,感じの悪い-感じの良い,1,1
仕事する,心の広い-心の狭い,2,1
仕事する,非社交的な-社交的な,3,1
仕事する,積極的な-消極的な,4,1
仕事する,責任感のある-責任感のない,5,1
仕事する,軽率な-慎重な,6,1
考える,感じの悪い-感じの良い,1,2
考える,心の広い-心の狭い,2,2
考える,非社交的な-社交的な,3,2
考える,積極的な-消極的な,4,2
考える,責任感のある-責任感のない,5,2
考える,軽率な-慎重な,6,2
怒る,感じの悪い-感じの良い,1,3
怒る,心の広い-心の狭い,2,3
怒る,非社交的な-社交的な,3,3
怒る,積極的な-消極的な,4,3
怒る,責任感のある-責任感のない,5,3
怒る,軽率な-慎重な,6,3
任す,感じの悪い-感じの良い,1,4
任す,心の広い-心の狭い,2,4
任す,非社交的な-社交的な,3,4
任す,積極的な-消極的な,4,4
任す,責任感のある-責任感のない,5,4
任す,軽率な-慎重な,6,4
行動する,感じの悪い-感じの良い,1,5
行動する,心の広い-心の狭い,2,5
行動する,非社交的な-社交的な,3,5
行動する,積極的な-消極的な,4,5
行動する,責任感のある-責任感のない,5,5
行動する,軽率な-慎重な,6,5
親しむ,感じの悪い-感じの良い,1,6
親しむ,心の広い-心の狭い,2,6
親しむ,非社交的な-社交的な,3,6
親しむ,積極的な-消極的な,4,6
親しむ,責任感のある-責任感のない,5,6
親しむ,軽率な-慎重な,6,6
困る,感じの悪い-感じの良い,1,7
困る,心の広い-心の狭い,2,7
困る,非社交的な-社交的な,3,7
困る,積極的な-消極的な,4,7
困る,責任感のある-責任感のない,5,7
困る,軽率な-慎重な,6,7
近づく,感じの悪い-感じの良い,1,8
近づく,心の広い-心の狭い,2,8
近づく,非社交的な-社交的な,3,8
近づく,積極的な-消極的な,4,8
近づく,責任感のある-責任感のない,5,8
近づく,軽率な-慎重な,6,8
参加する,感じの悪い-感じの良い,1,9
参加する,心の広い-心の狭い,2,9
参加する,非社交的な-社交的な,3,9
参加する,積極的な-消極的な,4,9
参加する,責任感のある-責任感のない,5,9
参加する,軽率な-慎重な,6,9
発表する,感じの悪い-感じの良い,1,10
発表する,心の広い-心の狭い,2,10
発表する,非社交的な-社交的な,3,10
発表する,積極的な-消極的な,4,10
発表する,責任感のある-責任感のない,5,10
発表する,軽率な-慎重な,6,10
与える,感じの悪い-感じの良い,1,11
与える,心の広い-心の狭い,2,11
与える,非社交的な-社交的な,3,11
与える,積極的な-消極的な,4,11
与える,責任感のある-責任感のない,5,11
与える,軽率な-慎重な,6,11
出る,感じの悪い-感じの良い,1,12
出る,心の広い-心の狭い,2,12
出る,非社交的な-社交的な,3,12
出る,積極的な-消極的な,4,12
出る,責任感のある-責任感のない,5,12
出る,軽率な-慎重な,6,12
助ける,感じの悪い-感じの良い,1,13
助ける,心の広い-心の狭い,2,13
助ける,非社交的な-社交的な,3,13
助ける,積極的な-消極的な,4,13
助ける,責任感のある-責任感のない,5,13
助ける,軽率な-慎重な,6,13
確認する,感じの悪い-感じの良い,1,14
確認する,心の広い-心の狭い,2,14
確認する,非社交的な-社交的な,3,14
確認する,積極的な-消極的な,4,14
確認する,責任感のある-責任感のない,5,14
確認する,軽率な-慎重な,6,14
教える,感じの悪い-感じの良い,1,15
教える,心の広い-心の狭い,2,15
教える,非社交的な-社交的な,3,15
教える,積極的な-消極的な,4,15
教える,責任感のある-責任感のない,5,15
教える,軽率な-慎重な,6,15
決める,感じの悪い-感じの良い,1,16
決める,心の広い-心の狭い,2,16
決める,非社交的な-社交的な,3,16
決める,積極的な-消極的な,4,16
決める,責任感のある-責任感のない,5,16
決める,軽率な-慎重な,6,16
沈む,感じの悪い-感じの良い,1,17
沈む,心の広い-心の狭い,2,17
沈む,非社交的な-社交的な,3,17
沈む,積極的な-消極的な,4,17
沈む,責任感のある-責任感のない,5,17
沈む,軽率な-慎重な,6,17
許す,感じの悪い-感じの良い,1,18
許す,心の広い-心の狭い,2,18
許す,非社交的な-社交的な,3,18
許す,積極的な-消極的な,4,18
許す,責任感のある-責任感のない,5,18
許す,軽率な-慎重な,6,18
目立つ,感じの悪い-感じの良い,1,19
目立つ,心の広い-心の狭い,2,19
目立つ,非社交的な-社交的な,3,19
目立つ,積極的な-消極的な,4,19
目立つ,責任感のある-責任感のない,5,19
目立つ,軽率な-慎重な,6,19
計画する,感じの悪い-感じの良い,1,20
計画する,心の広い-心の狭い,2,20
計画する,非社交的な-社交的な,3,20
計画する,積極的な-消極的な,4,20
計画する,責任感のある-責任感のない,5,20
計画する,軽率な-慎重な,6,20
発言する,感じの悪い-感じの良い,1,21
発言する,心の広い-心の狭い,2,21
発言する,非社交的な-社交的な,3,21
発言する,積極的な-消極的な,4,21
発言する,責任感のある-責任感のない,5,21
発言する,軽率な-慎重な,6,21
活動する,感じの悪い-感じの良い,1,22
活動する,心の広い-心の狭い,2,22
活動する,非社交的な-社交的な,3,22
活動する,積極的な-消極的な,4,22
活動する,責任感のある-責任感のない,5,22
活動する,軽率な-慎重な,6,22
務める,感じの悪い-感じの良い,1,23
務める,心の広い-心の狭い,2,23
務める,非社交的な-社交的な,3,23
務める,積極的な-消極的な,4,23
務める,責任感のある-責任感のない,5,23
務める,軽率な-慎重な,6,23
聞く,感じの悪い-感じの良い,1,24
聞く,心の広い-心の狭い,2,24
聞く,非社交的な-社交的な,3,24
聞く,積極的な-消極的な,4,24
聞く,責任感のある-責任感のない,5,24
聞く,軽率な-慎重な,6,24
落ち込む,感じの悪い-感じの良い,1,25
落ち込む,心の広い-心の狭い,2,25
落ち込む,非社交的な-社交的な,3,25
落ち込む,積極的な-消極的な,4,25
落ち込む,責任感のある-責任感のない,5,25
落ち込む,軽率な-慎重な,6,25
歌う,感じの悪い-感じの良い,1,26
歌う,心の広い-心の狭い,2,26
歌う,非社交的な-社交的な,3,26
歌う,積極的な-消極的な,4,26
歌う,責任感のある-責任感のない,5,26
歌う,軽率な-慎重な,6,26
休む,感じの悪い-感じの良い,1,27
休む,心の広い-心の狭い,2,27
休む,非社交的な-社交的な,3,27
休む,積極的な-消極的な,4,27
休む,責任感のある-責任感のない,5,27
休む,軽率な-慎重な,6,27
飲む,感じの悪い-感じの良い,1,28
