verb_id,verbs,negative_flag
1,仕事する,0
2,考える,0
3,怒る,0
4,任す,0
5,行動する,0
6,親しむ,0
7,困る,0
8,近づく,0
9,参加する,0
10,発表する,0
11,与える,0
12,出る,0
13,助ける,0
14,確認する,0
15,教える,0
16,決める,0
17,沈む,0
18,許す,0
19,目立つ,0
20,計画する,0
21,発言する,0
22,活動する,0
23,務める,0
24,聞く,0
25,落ち込む,0
26,歌う,0
27,休む,0
28,飲む,0
29,卑下する,0
30,買う,0
31,仕事しない,1
32,考えない,1
33,怒らない,1
34,任せない,1
35,行動しない,1
36,親しまない,1
37,困らない,1
38,近づかない,1
39,参加しない,1
40,発表しない,1
41,与えない,1
42,出ない,1
43,助けない,1
44,確認しない,1
45,教えない,1
46,決めない,1
47,沈まない,1
48,許さない,1
49,目立たない,1
50,計画しない,1
51,発言しない,1
52,活動しない,1
53,務めない,1
54,聞かない,1
55,落ち込まない,1
56,歌わない,1
57,休まない,1
58,飲まない,1
59,卑下しない,1
60,買わない,1
