verb_id,verbs,negative_flag,pca_cat_id_v
verb001,連絡する,0,cat1
verb002,気に入る,0,cat1
verb003,接する,0,cat1
verb004,対応する,0,cat1
verb005,断る,0,cat1
verb006,聞く,0,cat1
verb007,頼む,0,cat1
verb008,心配する,0,cat1
verb009,貸す,0,cat1
verb010,相談する,0,cat1
verb011,入る,0,cat2
verb012,進む,0,cat2
verb013,飲む,0,cat2
verb014,発言する,0,cat2
verb015,出る,0,cat2
verb016,活動する,0,cat2
verb017,旅行する,0,cat2
verb018,交流する,0,cat2
verb019,持つ,0,cat2
verb020,評価する,0,cat2
verb021,仕事する,0,cat3
verb022,買う,0,cat3
verb023,考える,0,cat3
verb024,決める,0,cat3
verb025,計画する,0,cat3
verb026,務める,0,cat3
verb027,近づく,0,cat3
verb028,近寄る,0,cat3
verb029,休む,0,cat3
verb030,行う,0,cat3
verb031,連絡しない,1,cat1
verb032,気に入らない,1,cat1
verb033,接さない,1,cat1
verb034,対応しない,1,cat1
verb035,断らない,1,cat1
verb036,聞かない,1,cat1
verb037,頼まない,1,cat1
verb038,心配しない,1,cat1
verb039,貸さない,1,cat1
verb040,相談しない,1,cat1
verb041,入らない,1,cat2
verb042,進まない,1,cat2
verb043,飲まない,1,cat2
verb044,発言しない,1,cat2
verb045,出ない,1,cat2
verb046,活動しない,1,cat2
verb047,旅行しない,1,cat2
verb048,交流しない,1,cat2
verb049,持たない,1,cat2
verb050,評価しない,1,cat2
verb051,仕事しない,1,cat3
verb052,買わない,1,cat3
verb053,考えない,1,cat3
verb054,決めない,1,cat3
verb055,計画しない,1,cat3
verb056,務めない,1,cat3
verb057,近づかない,1,cat3
verb058,近寄らない,1,cat3
verb059,休まない,1,cat3
verb060,行わない,1,cat3
