verbs,questionnarie,q_num,verb_id,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,participant,session,date,expName,frameRate,
評価する,恥知らずだ-恥ずかしがりだ,10,28,0,0,0,549,0,4.373,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
怒る,軽薄だ-重厚だ,11,19,0,1,1,370,1,6.403,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
引き受ける,消極的だ-積極的だ,1,11,0,2,2,200,0,2.849,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
聞く,消極的だ-積極的だ,1,6,0,3,3,100,3,3.12,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
旅行する,親しみにくい-親しみやすい,16,38,0,4,4,755,1,7.579,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
飲む,心が狭い-心が広い,6,30,0,5,5,585,1,3.738,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行く,卑屈だ-堂々とした,13,26,0,6,6,512,0,1.969,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
対応する,生意気だ-生意気でない,3,4,0,7,7,62,1,3.616,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
飲む,軽率だ-慎重だ,9,30,0,8,8,588,-1,3.04,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
行う,親しみにくい-親しみやすい,16,34,0,9,9,675,0,3.802,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
進む,不親切だ-親切だ,20,37,0,10,10,739,1,2.969,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
任す,責任感がない-責任感がある,8,60,0,11,11,1187,0,9.094,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
怒る,恥知らずだ-恥ずかしがりだ,10,19,0,12,12,369,0,963.02,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
発言する,軽率だ-慎重だ,9,29,0,13,13,568,0,3.97,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
卑下する,非社交的だ-社交的だ,7,50,0,14,14,986,-2,4.633,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
目立つ,憎らしい-可愛らしい,5,46,0,15,15,904,0,2.499,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
参加する,生意気だ-生意気でない,3,48,0,16,16,942,0,2.057,OkamotoMasahiro,001,2018_Dec_05_1118,verb_impression,59.815231418320586,
