verbs,traitq,ratings,questionnarie,q_id,verb_id,negative_flag,pca_cat,traitq_id,pca_cat_id_q
連絡する,心の広い-心の狭い,-2,感じの悪い-感じの良い,1,1,0,approachableness,traitq06,cat1
連絡する,感じの悪い-感じの良い,3,感じの悪い-感じの良い,1,1,0,approachableness,traitq14,cat1
連絡する,積極的な-消極的な,-3,感じの悪い-感じの良い,1,1,0,approachableness,traitq01,cat2
連絡する,責任感のある-責任感のない,-3,感じの悪い-感じの良い,1,1,0,approachableness,traitq08,cat3
連絡する,軽率な-慎重な,2,感じの悪い-感じの良い,1,1,0,approachableness,traitq09,cat3
連絡する,非社交的な-社交的な,0,感じの悪い-感じの良い,1,1,0,approachableness,traitq07,cat2
連絡する,心の広い-心の狭い,-2,心の広い-心の狭い,2,1,0,approachableness,traitq06,cat1
連絡する,感じの悪い-感じの良い,3,心の広い-心の狭い,2,1,0,approachableness,traitq14,cat1
連絡する,積極的な-消極的な,-3,心の広い-心の狭い,2,1,0,approachableness,traitq01,cat2
連絡する,責任感のある-責任感のない,-3,心の広い-心の狭い,2,1,0,approachableness,traitq08,cat3
連絡する,軽率な-慎重な,2,心の広い-心の狭い,2,1,0,approachableness,traitq09,cat3
連絡する,非社交的な-社交的な,0,心の広い-心の狭い,2,1,0,approachableness,traitq07,cat2
連絡する,心の広い-心の狭い,-2,非社交的な-社交的な,3,1,0,approachableness,traitq06,cat1
連絡する,感じの悪い-感じの良い,3,非社交的な-社交的な,3,1,0,approachableness,traitq14,cat1
連絡する,積極的な-消極的な,-3,非社交的な-社交的な,3,1,0,approachableness,traitq01,cat2
連絡する,責任感のある-責任感のない,-3,非社交的な-社交的な,3,1,0,approachableness,traitq08,cat3
連絡する,軽率な-慎重な,2,非社交的な-社交的な,3,1,0,approachableness,traitq09,cat3
連絡する,非社交的な-社交的な,0,非社交的な-社交的な,3,1,0,approachableness,traitq07,cat2
連絡する,心の広い-心の狭い,-2,積極的な-消極的な,4,1,0,approachableness,traitq06,cat1
連絡する,感じの悪い-感じの良い,3,積極的な-消極的な,4,1,0,approachableness,traitq14,cat1
連絡する,積極的な-消極的な,-3,積極的な-消極的な,4,1,0,approachableness,traitq01,cat2
