verbs,traitq,ratings,traitq_id,verb_id,negative_flag,pca_cat_id_v,pca_cat_id_q
連絡する,積極的な-消極的な,-1,traitq01,verb001,0,cat1,cat2
連絡する,心の広い-心の狭い,-1,traitq06,verb001,0,cat1,cat1
連絡する,非社交的な-社交的な,1,traitq07,verb001,0,cat1,cat2
連絡する,責任感のある-責任感のない,-1,traitq08,verb001,0,cat1,cat3
連絡する,軽率な-慎重な,1,traitq09,verb001,0,cat1,cat3
連絡する,感じの悪い-感じの良い,2,traitq14,verb001,0,cat1,cat1
気に入る,積極的な-消極的な,-1,traitq01,verb002,0,cat1,cat2
気に入る,心の広い-心の狭い,-1,traitq06,verb002,0,cat1,cat1
気に入る,非社交的な-社交的な,2,traitq07,verb002,0,cat1,cat2
気に入る,責任感のある-責任感のない,0,traitq08,verb002,0,cat1,cat3
気に入る,軽率な-慎重な,-1,traitq09,verb002,0,cat1,cat3
気に入る,感じの悪い-感じの良い,0,traitq14,verb002,0,cat1,cat1
接する,積極的な-消極的な,-2,traitq01,verb003,0,cat1,cat2
接する,心の広い-心の狭い,-3,traitq06,verb003,0,cat1,cat1
接する,非社交的な-社交的な,3,traitq07,verb003,0,cat1,cat2
接する,責任感のある-責任感のない,-2,traitq08,verb003,0,cat1,cat3
接する,軽率な-慎重な,0,traitq09,verb003,0,cat1,cat3
接する,感じの悪い-感じの良い,2,traitq14,verb003,0,cat1,cat1
対応する,積極的な-消極的な,-3,traitq01,verb004,0,cat1,cat2
対応する,心の広い-心の狭い,-2,traitq06,verb004,0,cat1,cat1
対応する,非社交的な-社交的な,3,traitq07,verb004,0,cat1,cat2
対応する,責任感のある-責任感のない,-2,traitq08,verb004,0,cat1,cat3
対応する,軽率な-慎重な,0,traitq09,verb004,0,cat1,cat3
対応する,感じの悪い-感じの良い,3,traitq14,verb004,0,cat1,cat1
断る,積極的な-消極的な,1,traitq01,verb005,0,cat1,cat2
断る,心の広い-心の狭い,2,traitq06,verb005,0,cat1,cat1
断る,非社交的な-社交的な,-1,traitq07,verb005,0,cat1,cat2
断る,責任感のある-責任感のない,0,traitq08,verb005,0,cat1,cat3
断る,軽率な-慎重な,1,traitq09,verb005,0,cat1,cat3
断る,感じの悪い-感じの良い,-2,traitq14,verb005,0,cat1,cat1
聞く,積極的な-消極的な,-2,traitq01,verb006,0,cat1,cat2
聞く,心の広い-心の狭い,-2,traitq06,verb006,0,cat1,cat1
聞く,非社交的な-社交的な,2,traitq07,verb006,0,cat1,cat2
聞く,責任感のある-責任感のない,-1,traitq08,verb006,0,cat1,cat3
聞く,軽率な-慎重な,2,traitq09,verb006,0,cat1,cat3
聞く,感じの悪い-感じの良い,1,traitq14,verb006,0,cat1,cat1
頼む,積極的な-消極的な,-1,traitq01,verb007,0,cat1,cat2
頼む,心の広い-心の狭い,-1,traitq06,verb007,0,cat1,cat1
頼む,非社交的な-社交的な,2,traitq07,verb007,0,cat1,cat2
頼む,責任感のある-責任感のない,1,traitq08,verb007,0,cat1,cat3
頼む,軽率な-慎重な,-1,traitq09,verb007,0,cat1,cat3
頼む,感じの悪い-感じの良い,-1,traitq14,verb007,0,cat1,cat1
心配する,積極的な-消極的な,1,traitq01,verb008,0,cat1,cat2
